2026-06-30 15:17:08 - Buyer: Buyer_1, Qty: 1, New Stock: 99, StudentID: p20240023
2026-06-30 15:17:08 - Buyer: Buyer_3, Qty: 1, New Stock: 98, StudentID: p20240023
2026-06-30 15:17:08 - Buyer: Buyer_2, Qty: 1, New Stock: 97, StudentID: p20240023
2026-06-30 15:17:08 - Buyer: Buyer_6, Qty: 1, New Stock: 96, StudentID: p20240023
2026-06-30 15:17:08 - Buyer: Buyer_10, Qty: 1, New Stock: 95, StudentID: p20240023
2026-06-30 15:17:08 - Buyer: Buyer_7, Qty: 1, New Stock: 94, StudentID: p20240023
2026-06-30 15:17:08 - Buyer: Buyer_13, Qty: 1, New Stock: 93, StudentID: p20240023
2026-06-30 15:17:08 - Buyer: Buyer_11, Qty: 1, New Stock: 92, StudentID: p20240023
2026-06-30 15:17:08 - Buyer: Buyer_4, Qty: 1, New Stock: 91, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_5, Qty: 1, New Stock: 90, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_12, Qty: 1, New Stock: 89, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_16, Qty: 1, New Stock: 88, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_8, Qty: 1, New Stock: 87, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_14, Qty: 1, New Stock: 86, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_21, Qty: 1, New Stock: 85, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_9, Qty: 1, New Stock: 84, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_19, Qty: 1, New Stock: 83, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_15, Qty: 1, New Stock: 82, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_20, Qty: 1, New Stock: 81, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_23, Qty: 1, New Stock: 80, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_17, Qty: 1, New Stock: 79, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_24, Qty: 1, New Stock: 78, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_26, Qty: 1, New Stock: 77, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_18, Qty: 1, New Stock: 76, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_27, Qty: 1, New Stock: 75, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_25, Qty: 1, New Stock: 74, StudentID: p20240023
2026-06-30 15:17:09 - Buyer: Buyer_22, Qty: 1, New Stock: 73, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_33, Qty: 1, New Stock: 72, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_34, Qty: 1, New Stock: 71, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_32, Qty: 1, New Stock: 70, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_29, Qty: 1, New Stock: 69, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_37, Qty: 1, New Stock: 68, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_31, Qty: 1, New Stock: 67, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_36, Qty: 1, New Stock: 66, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_38, Qty: 1, New Stock: 65, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_28, Qty: 1, New Stock: 64, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_39, Qty: 1, New Stock: 63, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_35, Qty: 1, New Stock: 62, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_30, Qty: 1, New Stock: 61, StudentID: p20240023
2026-06-30 15:17:10 - Buyer: Buyer_40, Qty: 1, New Stock: 60, StudentID: p20240023
